logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
UBB	-0.555765066479227	-0.731530536389369	-0.379999596569084	10.9893957594913	-6.4756518877453	5.02829817012267e-07	0.000185959172984242	6.31088364555457
XXbac.BPG248L24.12	-0.898408992636022	-1.18259654810483	-0.614221437167212	2.34288605230563	-6.47433016487537	5.04597915519891e-07	0.000185959172984242	6.30756903602592
GLYATL1	1.70909613005442	1.1658637378356	2.25232852227324	2.60307903384501	6.44327461020506	5.48005640267633e-07	0.000190787399563854	6.22963400320631
EEF1D	-0.47364247800198	-0.624206141707332	-0.323078814296627	8.26626747289484	-6.4425274767415	5.49095334857463e-07	0.000190787399563854	6.22775777297251
NDUFA4L2	1.53349356380265	1.04469469506531	2.02229243253998	7.0623584523011	6.42506572030766	5.75198458085712e-07	0.000190787399563854	6.18389024123874
FAS	-1.19718858810304	-1.5789225900418	-0.815454586164274	4.88354641523512	-6.4228463381475	5.78605042571942e-07	0.000190787399563854	6.17831238125818
JUN	-1.50852820798289	-1.99485566491552	-1.02220075105025	5.7832655919061	-6.35258456147175	6.9770902649105e-07	0.000219087891692972	6.00146083800451
GDF5	2.38699889272341	1.61735519728467	3.15664258816215	2.49680482833352	6.35167561504289	6.99402686968785e-07	0.000219087891692972	5.99916964241755
HLA.DPA1	-2.65055948775907	-3.50879307236194	-1.79232590315621	5.65279460030806	-6.32496110485948	7.51084975008709e-07	0.000229538896020954	5.93179241363553
IL34	-1.52444855031364	-2.02086580622661	-1.02803129440067	3.15878132671542	-6.28914649434011	8.2649864225084e-07	0.000246572094938167	5.84135089769128
GUCY1A3	-1.73253440536158	-2.2981649279783	-1.16690388274486	2.62936975784162	-6.27299353238056	8.62977912096801e-07	0.000251467749734254	5.80051863585172
TAP1	-1.44307934304294	-1.91501037989939	-0.971148306186503	4.94980969006026	-6.26235205429218	8.87896948900328e-07	0.00025284883567548	5.77360457060409
RP11.333E1.2	1.59558942296704	1.07066731157803	2.12051153435606	1.40099944230291	6.22518253856116	9.80796365284146e-07	0.000273097299044675	5.67951039705651
RWDD1	-0.452240962493122	-0.60125790354761	-0.303224021438634	6.01862342138672	-6.21527088309537	1.00719092521585e-06	0.000274350049846838	5.65439674305694
TMOD1	1.41422087735132	0.947618914630392	1.88082284007224	4.49991698380776	6.20721076135982	1.02918414567001e-06	0.000274376113728623	5.63396752494527
CARD16	-1.95472325637462	-2.60349529063051	-1.30595122211873	3.35231288122139	-6.17048026769113	1.1357293697365e-06	0.0002964726875583	5.54079286886382
PPP1R12B	-1.12465696572118	-1.49894800421377	-0.750365927228587	2.84142793942506	-6.15370194364357	1.1880478173592e-06	0.000298917824049026	5.49818938507334
CNN2	-1.32623222414896	-1.76771529943294	-0.884749148864979	5.88532172325283	-6.15221247152616	1.19280855566251e-06	0.000298917824049026	5.49440607035344
PCGF6	-0.706140158954095	-0.94221832572793	-0.470061992180261	2.92983753929919	-6.1257729504927	1.2806025526891e-06	0.000306189040915053	5.42721508193751
RTN1	2.00964233282379	1.33737761909891	2.68190704654867	1.50710015924248	6.12215418581531	1.29311714540953e-06	0.000306189040915053	5.41801376400668
BIRC7	2.44326044338416	1.62533445937615	3.26118642739218	2.63541863580757	6.11760690683266	1.30901830906558e-06	0.000306189040915053	5.4064498753316
TIMP3	1.53879721359113	1.0231827362522	2.05441169093005	9.03076087494155	6.11198243123884	1.32896014850906e-06	0.000306189040915053	5.39214407764786
IFI27	-1.88670835818094	-2.51933303740364	-1.25408367895824	9.76741802131541	-6.10779500066244	1.34400616522968e-06	0.000306189040915053	5.38149155652772
CRTAP	-0.422476989030758	-0.564369685048642	-0.280584293012874	8.011793876963	-6.09773894650577	1.38084644118294e-06	0.000308964391214683	5.35590331799065
HLA.DRB5	-3.20883906826983	-4.28817880646124	-2.12949933007843	4.5528220517861	-6.08857385825373	1.41531164995467e-06	0.000311120262700561	5.33257441126429
ACSS3	-0.922052654579088	-1.23375993648003	-0.610345372678142	3.07113631288946	-6.05807412974883	1.53639569049623e-06	0.000328363612037707	5.25488723572998
HHIP	3.39171068598496	2.24445459275426	4.53896677921565	3.33463194405266	6.05458297851153	1.55090758868332e-06	0.000328363612037707	5.24598963954297
DNAH6	0.812834904323488	0.53740304140422	1.08826676724276	1.45127207175582	6.04385412923259	1.59637799795401e-06	0.000328363612037707	5.21863941464901
PCSK7	-0.770726531998481	-1.03261428244991	-0.508838781547049	4.19517014961559	-6.02713519644306	1.66993704489173e-06	0.000328363612037707	5.17599963202003
RFTN1	-1.1722029401915	-1.57073907787168	-0.773666802511331	3.25669871655946	-6.02366633988529	1.68562323798272e-06	0.000328363612037707	5.16714974461001
MYL9	-0.91249166664069	-1.22286105143029	-0.602122281851091	5.02657257395749	-6.02110000417774	1.69732399307686e-06	0.000328363612037707	5.16060175532283
JAK2	-1.25203660407784	-1.67861298769633	-0.825460220459348	2.97372729949438	-6.01099029389749	1.74422163002785e-06	0.000328363612037707	5.13480153996812
PPP1R15A	-1.63057039489579	-2.18642419355285	-1.07471659623874	6.79428040217445	-6.0076522225923	1.75999236907122e-06	0.000328363612037707	5.12628083666645
LMBRD1	0.591381585254436	0.389762319567633	0.793000850941238	5.90530450305733	6.0070545710839	1.76283114957682e-06	0.000328363612037707	5.12475518419508
EREG	1.35446097461313	0.892557641526976	1.81636430769929	1.68034146356576	6.00538989962189	1.77076257680894e-06	0.000328363612037707	5.12050554492349
C1orf52	-0.578690520854711	-0.776114978989386	-0.381266062720037	5.04347084224698	-6.00303979983487	1.78202119860847e-06	0.000328363612037707	5.1145057268687
SLC1A1	1.22301866996494	0.80499286359856	1.64104447633132	3.55766390877483	5.99177921867632	1.83697921126841e-06	0.000333584775611495	5.0857510857378
HSBP1	-0.338295173464419	-0.454137778013853	-0.222452568914986	7.29093474223337	-5.98071761232502	1.89263375232118e-06	0.000338781441665492	5.05749443248546
FN1	1.35791725967366	0.892134531375649	1.82369998797167	12.7068387183424	5.9705692084173	1.94519125931311e-06	0.000343285161678778	5.03156179989145
F5	2.76107336404541	1.8090551033338	3.71309162475703	3.78966502467048	5.93961747810174	2.11477273784345e-06	0.000363743559569803	4.95241865169684
RP11.14N7.2	-1.13882221617144	-1.53172087092996	-0.745923561412916	6.42769751589676	-5.93609985414729	2.13496736120114e-06	0.000363743559569803	4.94341934064914
CRTAC1	1.6915933391377	1.10776121026931	2.27542546800609	9.74949580659383	5.93381202423685	2.14820617782645e-06	0.000363743559569803	4.93756575249934
SLC25A36	-0.660798336692105	-0.889089449592472	-0.432507223791738	4.80857906485449	-5.92796655540236	2.18240951309607e-06	0.000364607882654583	4.92260781752041
GALNT7	0.764308545118149	0.499843304472168	1.02877378576413	3.53812338640447	5.91869450484402	2.23779442459163e-06	0.000368941633422805	4.89887618100709
SELP	2.76916095665154	1.8036940476454	3.73462786565767	4.65105973728902	5.87403615755833	2.52510394494562e-06	0.000410903278313878	4.78448208681515
